Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,54.05,130.52,2.587,0.512
2020-01-03,52.18,36.53,2.067,0.51
2020-01-06,55.51,38.85,1.735,0.441
2020-01-07,42.17,29.52,1.464,0.474
2020-01-08,58.13,40.69,1.276,0.511
2020-01-09,41.68,29.18,1.143,0.505
2020-01-10,44.6,31.22,1.005,0.486
2020-01-13,43.27,30.29,0.913,0.531
2020-01-14,57.66,40.36,0.836,0.534
2020-01-15,56.07,39.25,0.766,0.536
2020-01-16,63.52,44.46,0.717,0.455
2020-01-17,63.82,44.67,0.674,0.541
2020-01-20,62.61,43.83,0.618,0.487
2020-01-21,48.11,33.68,0.567,0.566
2020-01-22,61.63,43.14,0.551,0.62
2020-01-23,50.42,35.3,0.523,0.498
2020-01-24,56.27,39.39,0.505,0.533
2020-01-27,60.5,42.35,0.476,0.53
2020-01-28,49.14,34.4,0.438,1.063
2020-01-29,55.2,38.64,0.418,0.523
2020-01-30,48.51,33.96,0.398,0.502
2020-01-31,56.18,39.32,0.378,0.535
2020-02-03,62.56,43.79,0.356,0.538
2020-02-04,56.88,39.81,0.338,0.501
2020-02-05,52.12,36.49,0.322,0.562
2020-02-06,47.13,32.99,0.321,0.575
2020-02-07,54.4,38.08,0.306,0.597
2020-02-10,69.09,48.36,0.299,0.552
2020-02-11,50.93,35.65,0.295,0.509
2020-02-12,48.54,33.98,0.299,0.636
2020-02-13,49.44,34.61,0.294,0.462
2020-02-14,69.29,48.5,0.292,0.602
2020-02-17,52.17,36.52,0.291,0.574
2020-02-18,69.72,48.8,0.289,0.594
2020-02-19,56.19,39.34,0.287,0.602
2020-02-20,72.58,50.8,0.281,0.67
2020-02-21,65.65,45.96,0.274,0.732
2020-02-24,54.91,38.43,0.267,0.616
2020-02-25,74.48,52.14,0.263,0.663
2020-02-26,56.76,39.73,0.263,0.712
2020-02-27,73.65,51.56,0.264,0.69
2020-02-28,69.4,48.58,0.259,0.748
