Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,55.1,1539.03,1.587,0.351
2020-01-03,41.98,284.31,1.363,0.517
2020-01-06,50.14,86.35,1.202,0.466
2020-01-07,63.76,44.63,1.067,0.553
2020-01-08,48.93,34.25,0.94,0.557
2020-01-09,46.61,32.63,0.845,0.551
2020-01-10,60.07,42.05,0.778,0.525
2020-01-13,54.18,37.93,0.701,0.596
2020-01-14,55.07,38.55,0.65,0.39
2020-01-15,46.77,32.74,0.608,0.534
2020-01-16,52.75,36.93,0.58,0.112
2020-01-17,59.04,41.33,0.542,0.533
2020-01-20,54.48,38.14,0.507,0.496
2020-01-21,43.83,30.68,0.474,0.032
2020-01-22,60.91,42.64,0.442,0.571
2020-01-23,44.53,31.17,0.439,0.426
2020-01-24,43.7,30.59,0.408,0.456
2020-01-27,35.91,25.14,0.386,0.391
2020-01-28,44.73,31.31,0.37,0.678
2020-01-29,47.47,33.23,0.356,0.42
2020-01-30,41.44,29.01,0.331,0.332
2020-01-31,45.04,31.53,0.316,0.439
2020-02-03,47.35,33.15,0.311,0.443
2020-02-04,44.97,31.48,0.301,0.474
2020-02-05,33.06,23.14,0.28,0.396
2020-02-06,42.8,29.96,0.267,0.935
2020-02-07,43.21,30.24,0.258,0.559
2020-02-10,39.38,27.57,0.248,0.435
2020-02-11,41.02,28.72,0.233,0.407
2020-02-12,35.35,24.75,0.229,0.185
2020-02-13,49.56,34.69,0.224,0.394
2020-02-14,50.25,35.18,0.221,0.456
2020-02-17,45.51,31.86,0.212,0.3
2020-02-18,36.79,25.76,0.21,0.078
2020-02-19,46.74,32.72,0.2,0.426
2020-02-20,44.15,30.91,0.195,0.44
2020-02-21,44.13,30.89,0.19,0.439
2020-02-24,47.24,33.07,0.189,0.387
2020-02-25,40.23,28.16,0.18,0.412
2020-02-26,33.25,23.27,0.177,0.422
2020-02-27,33.78,23.64,0.172,0.421
2020-02-28,46.07,32.25,0.167,0.456
