Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,72.69,436.19,3.987,0.688
2020-01-03,72.94,69.77,2.853,0.685
2020-01-06,65.61,45.93,2.287,0.642
2020-01-07,56.56,39.59,1.916,0.674
2020-01-08,70.11,49.08,1.667,0.665
2020-01-09,66.25,46.37,1.425,0.683
2020-01-10,59.64,41.75,1.239,0.688
2020-01-13,57.41,40.18,1.093,0.731
2020-01-14,71.13,49.79,0.992,0.69
2020-01-15,65.08,45.56,0.913,0.68
2020-01-16,78.86,55.2,0.832,0.594
2020-01-17,78.45,54.91,0.782,0.668
2020-01-20,59.57,41.7,0.717,0.624
2020-01-21,68.48,47.94,0.672,0.653
2020-01-22,53.22,37.25,0.643,0.648
2020-01-23,66.81,46.77,0.606,0.611
2020-01-24,61.15,42.8,0.553,0.669
2020-01-27,76.61,53.63,0.521,0.653
2020-01-28,66.2,46.34,0.506,0.863
2020-01-29,69.67,48.77,0.493,0.751
2020-01-30,68.82,48.18,0.47,0.751
2020-01-31,77.78,54.45,0.449,0.783
2020-02-03,70.9,49.63,0.436,0.758
2020-02-04,61.24,42.87,0.413,0.738
2020-02-05,81.38,56.97,0.396,0.753
2020-02-06,91.67,64.17,0.386,0.809
2020-02-07,85.88,60.12,0.375,0.845
2020-02-10,72.49,50.74,0.355,0.802
2020-02-11,74.58,52.2,0.349,0.793
2020-02-12,85.25,59.67,0.343,0.917
2020-02-13,85.62,59.94,0.334,0.73
2020-02-14,84.46,59.12,0.328,0.862
2020-02-17,83.22,58.25,0.326,0.854
2020-02-18,101.92,71.35,0.319,0.852
2020-02-19,77.09,53.96,0.318,0.807
2020-02-20,99.31,69.52,0.313,0.862
2020-02-21,90.24,63.17,0.311,0.904
2020-02-24,88.35,61.85,0.303,0.78
2020-02-25,88.33,61.83,0.292,0.772
2020-02-26,70.07,49.05,0.283,0.818
2020-02-27,85.33,59.73,0.278,0.786
2020-02-28,86.43,60.5,0.268,0.806
