Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,130.61,7987.11,1.501,1.149
2020-01-03,128.37,6631.77,1.395,1.191
2020-01-06,137.52,6037.73,1.314,1.171
2020-01-07,137.68,4996.4,1.206,1.223
2020-01-08,111.7,3339.49,1.119,1.252
2020-01-09,127.01,3124.04,1.072,1.241
2020-01-10,127.83,2584.09,1.015,1.442
2020-01-13,117.03,1902.22,0.951,1.422
2020-01-14,106.11,1429.2,0.906,1.257
2020-01-15,127.13,1425.45,0.866,1.27
2020-01-16,145.78,1333.35,0.83,1.176
2020-01-17,110.35,822.51,0.787,1.284
2020-01-20,106.54,637.04,0.759,1.248
2020-01-21,115.92,553.37,0.714,1.444
2020-01-22,137.39,524.6,0.68,1.302
2020-01-23,121.4,383.77,0.645,1.29
2020-01-24,130.73,332.81,0.614,1.295
2020-01-27,139.97,283.7,0.585,1.267
2020-01-28,133.35,216.13,0.559,1.382
2020-01-29,153.89,199.4,0.535,1.309
2020-01-30,116.29,121.64,0.513,1.398
2020-01-31,144.35,121.38,0.493,1.25
2020-02-03,119.89,83.92,0.474,1.289
2020-02-04,129.62,90.73,0.457,1.599
2020-02-05,121.59,85.11,0.441,1.351
2020-02-06,143.8,100.66,0.426,1.365
2020-02-07,150.14,105.1,0.412,1.399
2020-02-10,150.55,105.38,0.399,1.402
2020-02-11,109.41,76.58,0.387,1.322
2020-02-12,155.88,109.12,0.375,1.385
2020-02-13,144.6,101.22,0.365,1.348
2020-02-14,137.27,96.09,0.354,1.356
2020-02-17,122.63,85.84,0.345,1.297
2020-02-18,125.84,88.09,0.335,1.243
2020-02-19,138.67,97.07,0.327,1.334
2020-02-20,129.24,90.47,0.319,1.416
2020-02-21,154.11,107.88,0.311,1.384
2020-02-24,141.57,99.1,0.304,1.406
2020-02-25,160.62,112.43,0.296,1.433
2020-02-26,128.32,89.82,0.29,1.417
2020-02-27,144.2,100.94,0.283,1.398
2020-02-28,128.53,89.97,0.277,1.444
