Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,95.17,2681.24,1.7,1.017
2020-01-03,141.06,2548.93,1.497,1.196
2020-01-06,117.43,1338.5,1.393,1.201
2020-01-07,95.43,646.63,1.28,1.184
2020-01-08,94.86,359.93,1.182,1.167
2020-01-09,128.7,278.7,1.091,1.195
2020-01-10,121.63,145.18,1.012,1.167
2020-01-13,141.17,98.82,0.955,1.246
2020-01-14,99.39,69.57,0.887,1.042
2020-01-15,98.28,68.79,0.839,1.114
2020-01-16,107.07,74.95,0.803,0.659
2020-01-17,92.04,64.43,0.736,1.066
2020-01-20,97.49,68.25,0.702,1.018
2020-01-21,95.35,66.74,0.659,0.751
2020-01-22,93.67,65.57,0.616,1.08
2020-01-23,110.61,77.42,0.592,1.03
2020-01-24,125.9,88.13,0.569,1.095
2020-01-27,123.23,86.26,0.561,1.001
2020-01-28,112.46,78.72,0.544,1.249
2020-01-29,113.3,79.31,0.513,1.089
2020-01-30,98.74,69.12,0.494,0.993
2020-01-31,102.16,71.51,0.477,1.068
2020-02-03,107.63,75.34,0.457,1.078
2020-02-04,87.32,61.13,0.438,1.108
2020-02-05,106.43,74.5,0.421,1.062
2020-02-06,94.79,66.35,0.403,1.142
2020-02-07,129.38,90.56,0.387,1.299
2020-02-10,89.98,62.98,0.377,1.047
2020-02-11,106.98,74.88,0.365,1.04
2020-02-12,102.5,71.75,0.353,1.08
2020-02-13,122.61,85.83,0.341,1.036
2020-02-14,105.98,74.19,0.331,1.096
2020-02-17,126.65,88.65,0.318,0.918
2020-02-18,99.96,69.97,0.312,0.771
2020-02-19,96.51,67.56,0.304,1.093
2020-02-20,124.22,86.95,0.294,1.081
2020-02-21,131.98,92.39,0.288,1.099
2020-02-24,129.49,90.64,0.28,1.13
2020-02-25,95,66.5,0.272,1.144
2020-02-26,96.91,67.84,0.266,1.178
2020-02-27,101.02,70.71,0.26,1.177
2020-02-28,110.71,77.49,0.254,1.196
