Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,99.96,2816.24,1.7,1.017
2020-01-03,143.47,2592.52,1.497,1.196
2020-01-06,139.75,1592.92,1.393,1.242
2020-01-07,102.81,696.66,1.28,1.184
2020-01-08,125.74,477.1,1.182,1.206
2020-01-09,108.37,234.67,1.091,1.195
2020-01-10,117.8,140.62,1.012,1.167
2020-01-13,110.65,77.46,0.955,1.246
2020-01-14,94.85,66.39,0.887,1.042
2020-01-15,111.21,77.85,0.839,1.114
2020-01-16,105.08,73.56,0.803,0.659
2020-01-17,111.62,78.13,0.736,1.066
2020-01-20,84.17,58.92,0.702,1.014
2020-01-21,114.61,80.23,0.659,0.751
2020-01-22,130.73,91.51,0.616,1.137
2020-01-23,93.29,65.3,0.592,1.03
2020-01-24,117.05,81.94,0.569,1.086
2020-01-27,119.93,83.95,0.561,1.01
2020-01-28,114.82,80.38,0.544,1.305
2020-01-29,115.81,81.06,0.513,1.089
2020-01-30,97.96,68.57,0.494,0.993
2020-01-31,117.28,82.1,0.477,1.068
2020-02-03,88.13,61.69,0.457,1.078
2020-02-04,110.79,77.56,0.438,1.108
2020-02-05,96.59,67.61,0.421,1.062
2020-02-06,93.28,65.3,0.403,1.142
2020-02-07,123.03,86.12,0.387,1.421
2020-02-10,88.74,62.12,0.377,1.09
2020-02-11,96.62,67.63,0.365,1.04
2020-02-12,106.85,74.8,0.353,1.08
2020-02-13,113.02,79.12,0.341,1.036
2020-02-14,104.78,73.34,0.331,1.096
2020-02-17,124.52,87.16,0.318,0.918
2020-02-18,112.96,79.07,0.312,0.771
2020-02-19,99.39,69.57,0.304,1.093
2020-02-20,104.29,73.01,0.294,1.081
2020-02-21,94.21,65.95,0.288,1.099
2020-02-24,114.97,80.48,0.28,1.13
2020-02-25,92.91,65.04,0.272,1.144
2020-02-26,127.84,89.49,0.266,1.178
2020-02-27,97.88,68.52,0.26,1.177
2020-02-28,129.77,90.84,0.254,1.167
