Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,208.77,8654.57,1.239,1.736
2020-01-03,188.08,6624.56,1.215,1.839
2020-01-06,175.67,5111.38,1.209,1.788
2020-01-07,150.45,3592.94,1.166,1.839
2020-01-08,176.85,3420.43,1.14,1.855
2020-01-09,159.04,2506.36,1.11,1.879
2020-01-10,160.87,1979.63,1.069,1.915
2020-01-13,199.37,1908.29,1.023,1.967
2020-01-14,207.21,1552.12,0.949,1.872
2020-01-15,211.86,1219.91,0.88,1.911
2020-01-16,175.65,792.91,0.821,1.588
2020-01-17,228.08,778.38,0.769,1.902
2020-01-20,202.43,528.51,0.723,1.892
2020-01-21,193.6,379.62,0.683,1.789
2020-01-22,164.01,248.76,0.647,1.958
2020-01-23,184.29,213.77,0.614,1.858
2020-01-24,207.54,185.14,0.584,1.893
2020-01-27,162.69,116.97,0.558,1.882
2020-01-28,200.31,140.22,0.533,2.043
2020-01-29,219.63,153.74,0.511,1.911
2020-01-30,211,147.7,0.49,1.865
2020-01-31,209.35,146.55,0.471,1.893
2020-02-03,205.3,143.71,0.454,1.882
2020-02-04,153.52,107.46,0.438,1.852
2020-02-05,208.43,145.9,0.422,1.923
2020-02-06,232.02,162.41,0.408,1.963
2020-02-07,187.71,131.4,0.395,1.992
2020-02-10,209.9,146.93,0.383,1.816
2020-02-11,180.71,126.5,0.371,1.734
2020-02-12,227.08,158.96,0.36,1.973
2020-02-13,139.8,97.86,0.35,1.528
2020-02-14,200.43,140.3,0.34,1.837
2020-02-17,203.38,142.36,0.33,1.772
2020-02-18,199.86,139.9,0.322,1.671
2020-02-19,197.97,138.58,0.313,1.776
2020-02-20,173.16,121.21,0.305,1.839
2020-02-21,196.18,137.32,0.298,2.611
2020-02-24,176.98,123.88,0.291,1.891
2020-02-25,159.59,111.71,0.284,1.93
2020-02-26,217.37,152.16,0.278,1.969
2020-02-27,209.96,146.97,0.271,1.955
2020-02-28,219.07,153.35,0.266,1.932
