Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,119.85,3376.57,1.7,1.017
2020-01-03,101.22,1829.05,1.497,1.196
2020-01-06,139.49,1590.01,1.393,1.201
2020-01-07,132.67,898.96,1.28,1.184
2020-01-08,96.31,365.42,1.182,1.167
2020-01-09,112.76,244.19,1.091,1.195
2020-01-10,97.72,116.65,1.012,1.167
2020-01-13,104.53,73.17,0.955,1.246
2020-01-14,96.05,67.23,0.887,1.042
2020-01-15,117.92,82.54,0.839,1.114
2020-01-16,108.81,76.17,0.803,0.659
2020-01-17,123.5,86.45,0.736,1.066
2020-01-20,119.58,83.7,0.702,1.023
2020-01-21,99.14,69.4,0.659,0.751
2020-01-22,112.71,78.9,0.616,1.08
2020-01-23,102.96,72.07,0.592,1.03
2020-01-24,117.48,82.23,0.569,1.086
2020-01-27,119.03,83.32,0.561,0.972
2020-01-28,107.81,75.47,0.544,1.249
2020-01-29,109.5,76.65,0.513,1.089
2020-01-30,111.66,78.16,0.494,0.993
2020-01-31,87.04,60.93,0.477,1.068
2020-02-03,126.54,88.58,0.457,1.078
2020-02-04,120.3,84.21,0.438,1.108
2020-02-05,114.88,80.41,0.421,1.062
2020-02-06,88.21,61.75,0.403,1.142
2020-02-07,104.27,72.99,0.387,1.321
2020-02-10,110.33,77.23,0.377,1.032
2020-02-11,90.03,63.02,0.365,1.04
2020-02-12,100.67,70.47,0.353,1.08
2020-02-13,121.4,84.98,0.341,1.036
2020-02-14,127.71,89.4,0.331,1.096
2020-02-17,92,64.4,0.318,0.815
2020-02-18,112.66,78.86,0.312,0.771
2020-02-19,120.54,84.38,0.304,1.093
2020-02-20,106.18,74.33,0.294,1.081
2020-02-21,120.49,84.34,0.288,1.099
2020-02-24,98.51,68.96,0.28,1.13
2020-02-25,92.61,64.82,0.272,1.144
2020-02-26,97.75,68.43,0.266,1.178
2020-02-27,137.55,96.29,0.26,1.177
2020-02-28,102.4,71.68,0.254,1.167
