Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,122.14,7469.59,1.501,1.149
2020-01-03,120.21,6209.74,1.395,1.191
2020-01-06,106.12,4658.88,1.314,1.171
2020-01-07,139.28,5054.47,1.206,1.223
2020-01-08,101.46,3033.33,1.119,1.283
2020-01-09,127.55,3137.37,1.072,1.241
2020-01-10,132.01,2668.56,1.015,1.337
2020-01-13,107.88,1753.59,0.951,1.422
2020-01-14,111.21,1497.97,0.906,1.257
2020-01-15,123.07,1379.91,0.866,1.27
2020-01-16,137.1,1253.92,0.83,1.176
2020-01-17,140.63,1048.19,0.787,1.284
2020-01-20,141.22,844.35,0.759,1.214
2020-01-21,132.28,631.44,0.714,1.532
2020-01-22,153.62,586.6,0.68,1.302
2020-01-23,144.24,456.01,0.645,1.29
2020-01-24,132.35,336.93,0.614,1.295
2020-01-27,135.29,274.21,0.585,1.24
2020-01-28,151.29,245.21,0.559,1.394
2020-01-29,132.76,172.03,0.535,1.309
2020-01-30,150,156.9,0.513,1.344
2020-01-31,124.17,104.41,0.493,1.244
2020-02-03,134.91,94.44,0.474,1.222
2020-02-04,154.67,108.27,0.457,1.991
2020-02-05,150.47,105.33,0.441,1.351
2020-02-06,143.32,100.33,0.426,1.365
2020-02-07,144.23,100.96,0.412,1.397
2020-02-10,112.37,78.66,0.399,1.367
2020-02-11,124.49,87.15,0.387,1.322
2020-02-12,122.7,85.89,0.375,1.385
2020-02-13,114.65,80.25,0.365,1.348
2020-02-14,110.54,77.38,0.354,1.356
2020-02-17,142.4,99.68,0.345,1.297
2020-02-18,123.15,86.21,0.335,1.243
2020-02-19,151.49,106.04,0.327,1.334
2020-02-20,126.43,88.5,0.319,1.416
2020-02-21,166.23,116.36,0.311,1.384
2020-02-24,114.67,80.27,0.304,1.406
2020-02-25,130.72,91.5,0.296,1.433
2020-02-26,118.8,83.16,0.29,1.417
2020-02-27,124.58,87.21,0.283,1.398
2020-02-28,125.5,87.85,0.277,1.444
