Date,OrderVolume,SupplierOrderValue,InventoryTurnover,CustomerDemandIndex
2020-01-02,170.1,7051.38,1.239,1.736
2020-01-03,167.64,5904.64,1.215,1.839
2020-01-06,147.84,4301.72,1.209,1.788
2020-01-07,216.08,5160.27,1.166,1.839
2020-01-08,211.26,4085.98,1.14,1.855
2020-01-09,151.1,2381.28,1.11,1.879
2020-01-10,180.99,2227.28,1.069,1.915
2020-01-13,181.76,1739.72,1.023,1.967
2020-01-14,189.51,1419.54,0.949,1.872
2020-01-15,161.81,931.71,0.88,1.911
2020-01-16,165.38,746.56,0.821,1.588
2020-01-17,163.08,556.55,0.769,1.902
2020-01-20,192.4,502.31,0.723,1.878
2020-01-21,192.44,377.33,0.683,1.789
2020-01-22,223.97,339.71,0.647,1.888
2020-01-23,185,214.59,0.614,1.858
2020-01-24,209.89,187.24,0.584,1.893
2020-01-27,208.72,150.06,0.558,1.843
2020-01-28,217.52,152.26,0.533,1.987
2020-01-29,221.94,155.36,0.511,1.911
2020-01-30,207.46,145.22,0.49,1.865
2020-01-31,207.54,145.28,0.471,1.893
2020-02-03,186.35,130.44,0.454,1.882
2020-02-04,202,141.4,0.438,1.852
2020-02-05,201.96,141.37,0.422,1.923
2020-02-06,158.22,110.75,0.408,1.963
2020-02-07,228.01,159.6,0.395,1.992
2020-02-10,213.1,149.17,0.383,1.779
2020-02-11,182.52,127.77,0.371,1.734
2020-02-12,171.94,120.36,0.36,1.973
2020-02-13,180.39,126.28,0.35,1.528
2020-02-14,167.84,117.49,0.34,1.837
2020-02-17,163.37,114.36,0.33,1.772
2020-02-18,176.25,123.38,0.322,1.671
2020-02-19,179.25,125.47,0.313,1.808
2020-02-20,189.84,132.89,0.305,1.839
2020-02-21,191.47,134.03,0.298,2.161
2020-02-24,171,119.7,0.291,1.891
2020-02-25,167.78,117.45,0.284,1.93
2020-02-26,219.36,153.55,0.278,1.969
2020-02-27,183.85,128.7,0.271,1.955
2020-02-28,216.89,151.82,0.266,1.915
