Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,30.36,1.056,1.03
2020-01-03,33.8,1.249,1.5
2020-01-06,43.74,0.939,2.48
2020-01-07,45.74,0.984,0.92
2020-01-08,51.32,0.972,1.96
2020-01-09,56.61,1.074,1.16
2020-01-10,61.78,0.896,1.5
2020-01-13,68.44,1.027,2.16
2020-01-14,73.92,0.893,2.75
2020-01-15,75.62,0.848,2.77
2020-01-16,88.36,1.06,4.82
2020-01-17,83.89,1.086,1.29
2020-01-20,88.16,1.047,0.99
2020-01-21,92.35,1.071,3.77
2020-01-22,85.19,1.061,2.21
2020-01-23,82.44,1.111,1.87
2020-01-24,81.14,0.93,2.14
2020-01-27,81.22,1.111,1.16
2020-01-28,80.34,0.908,1.59
2020-01-29,77.51,0.921,2.49
2020-01-30,83.27,1.062,1.32
2020-01-31,83.92,1.064,1.05
2020-02-03,82.26,0.788,0.73
2020-02-04,81.7,1.071,2.39
2020-02-05,78.23,0.834,2.05
2020-02-06,76.12,0.901,3.15
2020-02-07,88.92,0.934,4.31
2020-02-10,73.27,0.893,3.6
2020-02-11,78.17,0.976,2.69
2020-02-12,78.95,0.888,1.28
2020-02-13,82.85,1.033,1.48
2020-02-14,81.63,0.902,2.26
2020-02-17,84.52,0.929,3.21
2020-02-18,85.36,1.015,2.11
2020-02-19,82.57,0.999,3.76
2020-02-20,80.16,0.973,3.27
2020-02-21,84.25,1.095,1.8
2020-02-24,80.93,1.123,1.79
2020-02-25,80.81,1.028,2.26
2020-02-26,77.89,1.031,0.91
2020-02-27,74.12,0.829,1.9
2020-02-28,71.27,1.054,2.35
