Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,25.01,1.064,0.28
2020-01-03,30.28,0.894,0.21
2020-01-06,37.61,1.071,0.82
2020-01-07,42.56,1.104,0.33
2020-01-08,48.3,1.053,0.42
2020-01-09,53.75,0.988,0.48
2020-01-10,59.06,0.972,0.27
2020-01-13,58.66,0.983,0.76
2020-01-14,56.69,0.992,0.7
2020-01-15,55.37,1.049,0.55
2020-01-16,63.01,1.044,0.88
2020-01-17,55.02,0.97,0.49
2020-01-20,61.21,1.199,0.48
2020-01-21,61.39,1.003,0.73
2020-01-22,63.13,0.989,0.83
2020-01-23,60.41,1.078,0.34
2020-01-24,61.94,0.972,0.31
2020-01-27,62.25,0.967,0.92
2020-01-28,68.82,0.897,1.17
2020-01-29,69.63,0.968,0.52
2020-01-30,67.29,0.931,0.47
2020-01-31,66.07,1.162,0.2
2020-02-03,66.99,1,0.67
2020-02-04,73.09,1.026,0.31
2020-02-05,71.98,1.125,0.18
2020-02-06,72.51,1.009,0.71
2020-02-07,70.94,0.694,0.84
2020-02-10,70.1,1.007,0.51
2020-02-11,71.49,0.895,0.28
2020-02-12,67.94,0.945,1.04
2020-02-13,69.88,1.015,0.9
2020-02-14,62.39,0.971,0.44
2020-02-17,62.66,1.039,0.78
2020-02-18,62.16,0.943,1.26
2020-02-19,59.36,0.919,0.31
2020-02-20,57.57,1.035,0.63
2020-02-21,64.64,0.886,1.18
2020-02-24,58.17,1.019,0.25
2020-02-25,58.63,0.923,0.33
2020-02-26,62.63,0.976,0.44
2020-02-27,61,1.126,0.25
2020-02-28,63.4,0.94,0.57
