Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,32.48,0.959,0.45
2020-01-03,32.47,1.05,0.35
2020-01-06,33.36,0.959,0.59
2020-01-07,38.57,1.054,0.46
2020-01-08,42.56,0.977,0.3
2020-01-09,41.51,1.115,0.36
2020-01-10,50.09,0.98,0.26
2020-01-13,48.98,1.076,0.69
2020-01-14,44.71,0.846,0.48
2020-01-15,42.79,1.074,0.27
2020-01-16,44.29,1.152,0.43
2020-01-17,42.81,1.01,0.51
2020-01-20,42.03,1.002,0.18
2020-01-21,43.9,0.999,0.84
2020-01-22,41.13,0.82,0.28
2020-01-23,41.15,0.881,0.26
2020-01-24,42.55,1.089,0.47
2020-01-27,42.22,0.688,0.56
2020-01-28,44.84,1.147,0.6
2020-01-29,44.69,1.024,0.66
2020-01-30,47.46,1.025,0.63
2020-01-31,45.45,1.15,0.19
2020-02-03,43,1.01,0.43
2020-02-04,50.22,0.957,0.59
2020-02-05,44.79,0.935,0.27
2020-02-06,44,1.047,0.38
2020-02-07,46.6,0.921,0.27
2020-02-10,43.9,1.033,0.47
2020-02-11,46.53,1.016,0.36
2020-02-12,44.43,1.008,0.51
2020-02-13,46.32,0.796,0.73
2020-02-14,48.91,1.105,0.3
2020-02-17,47.82,1.055,0.23
2020-02-18,47.3,0.834,0.42
2020-02-19,50.74,0.912,0.2
2020-02-20,55.96,0.907,0.56
2020-02-21,55.7,0.971,0.19
2020-02-24,53.78,1.2,0.38
2020-02-25,51.7,0.995,0.38
2020-02-26,50.12,1.035,0.36
2020-02-27,51.62,1.124,0.42
2020-02-28,49.89,1.015,0.37
