Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,27.61,0.748,0.68
2020-01-03,31.19,1.077,0.27
2020-01-06,37.86,1.043,0.32
2020-01-07,43.38,0.925,0.1
2020-01-08,48.84,0.879,0.08
2020-01-09,47.5,0.999,0.48
2020-01-10,46.59,0.736,0.19
2020-01-13,49.48,0.849,0.49
2020-01-14,51.27,1.057,0.36
2020-01-15,47.05,1.056,0.33
2020-01-16,57.85,0.965,0.29
2020-01-17,54.9,1.05,0.27
2020-01-20,56.64,1.068,0.11
2020-01-21,60.13,0.9,0.69
2020-01-22,51.67,0.96,0.32
2020-01-23,50.09,1.076,0.43
2020-01-24,49.93,1.095,0.42
2020-01-27,51.22,0.988,0.38
2020-01-28,54.15,0.834,0.7
2020-01-29,55.74,0.987,0.48
2020-01-30,60.49,1.158,0.53
2020-01-31,56.02,0.937,0.19
2020-02-03,53.81,1.072,0.11
2020-02-04,52.26,0.936,0.25
2020-02-05,51.07,0.842,0.45
2020-02-06,50.63,0.952,0.52
2020-02-07,51.07,0.89,0.72
2020-02-10,52.28,0.948,0.24
2020-02-11,57.01,0.887,0.37
2020-02-12,55.27,1.01,0.14
2020-02-13,56.24,1.056,0.41
2020-02-14,55.72,0.945,0.26
2020-02-17,61.39,1.015,0.76
2020-02-18,63.39,0.894,0.27
2020-02-19,57.28,1.132,0.23
2020-02-20,59.48,1.029,0.2
2020-02-21,63.24,1.043,0.44
2020-02-24,63.1,0.795,0.36
2020-02-25,63.2,0.975,0.29
2020-02-26,61.26,1.052,0.2
2020-02-27,66.03,0.961,0.5
2020-02-28,71.07,0.92,0.29
