Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,34.45,0.952,0.37
2020-01-03,37.68,1.002,0.15
2020-01-06,44.04,0.987,0.33
2020-01-07,49.24,1.032,0.25
2020-01-08,54.65,0.955,0.09
2020-01-09,59.77,0.964,0.39
2020-01-10,64.78,0.933,0.22
2020-01-13,71.29,1.115,0.09
2020-01-14,76.63,1.048,0.28
2020-01-15,78.19,0.874,0.27
2020-01-16,90.81,0.942,0.79
2020-01-17,86.21,0.984,0.23
2020-01-20,90.49,1.056,0.33
2020-01-21,99.98,1.034,0.83
2020-01-22,96.9,0.941,0.08
2020-01-23,100.87,1.157,0.31
2020-01-24,102.81,1.191,0.22
2020-01-27,107.09,0.789,0.3
2020-01-28,112.26,0.898,0.46
2020-01-29,110.94,1.05,0.21
2020-01-30,115.03,0.929,0.55
2020-01-31,109.64,1.091,0.18
2020-02-03,105.34,1.009,0.11
2020-02-04,109.08,0.89,0.37
2020-02-05,110.15,0.91,0.14
2020-02-06,114.36,1.06,0.36
2020-02-07,120.08,0.923,0.25
2020-02-10,109.38,1.178,0.23
2020-02-11,109.21,1.008,0.14
2020-02-12,111.39,1.037,0.48
2020-02-13,114.37,0.894,0.28
2020-02-14,115.56,0.929,0.26
2020-02-17,120.21,0.894,0.32
2020-02-18,123.85,1.099,0.39
2020-02-19,111.99,1.002,0.24
2020-02-20,110.78,1.062,0.29
2020-02-21,105.4,1.098,0.16
2020-02-24,106.29,1.194,0.09
2020-02-25,101.84,1.017,0.21
2020-02-26,97.17,0.945,0.13
2020-02-27,93.73,0.862,0.25
2020-02-28,93.42,0.984,0.24
