Date,ImpliedVolatility,PutCallRatio,OptionVolume
2020-01-02,41.4,0.931,0.62
2020-01-03,41.76,0.849,0.45
2020-01-06,44.84,1.045,0.14
2020-01-07,45.29,0.969,0.22
2020-01-08,44.68,1.255,0.26
2020-01-09,48.19,0.887,0.36
2020-01-10,49.18,0.923,0.83
2020-01-13,50.38,0.938,0.53
2020-01-14,50.35,0.948,0.59
2020-01-15,51.41,0.9,0.55
2020-01-16,51.32,1.186,0.76
2020-01-17,47.95,0.979,0.33
2020-01-20,49.23,1.013,0.5
2020-01-21,61.85,1.018,1.66
2020-01-22,53.24,0.968,0.45
2020-01-23,52.25,0.974,0.48
2020-01-24,51,0.938,0.24
2020-01-27,53.3,0.907,0.33
2020-01-28,55.19,0.859,0.66
2020-01-29,55.35,0.973,0.47
2020-01-30,55.34,0.932,0.18
2020-01-31,54.9,0.968,0.53
2020-02-03,54.81,1.119,0.56
2020-02-04,59.34,0.916,0.86
2020-02-05,53.97,0.956,0.33
2020-02-06,52.04,0.964,0.25
2020-02-07,50.35,0.975,0.31
2020-02-10,53.2,1.016,0.77
2020-02-11,54.98,0.926,0.61
2020-02-12,53.33,1.054,0.38
2020-02-13,51.1,1.073,0.16
2020-02-14,54.45,0.925,0.67
2020-02-17,55.86,0.805,0.29
2020-02-18,58.06,0.906,0.73
2020-02-19,58,1.217,0.46
2020-02-20,56.38,0.958,0.27
2020-02-21,53.84,0.96,0.18
2020-02-24,51.6,0.988,0.51
2020-02-25,55.28,1.208,0.64
2020-02-26,55.13,1.007,0.55
2020-02-27,54.04,0.928,0.32
2020-02-28,52.46,1.189,0.55
