Date,GDP,GDPGrowth,CPI,PPI,PMI,NonFarmPayroll,InterestRate,InterbankRate,TreasuryYield2Y,TreasuryYield10Y,M1,M2,ExchangeRate,PoliticalStability,MarginBalance,NorthFlow
2020-01-02,1803458.59,3.194,-0.243,3.094,49.47,14434.47,3.538,3.601,3.798,4.363,593271.43,546473.88,0.006687,0.75,35357.99,6072.45
2020-01-03,1803678.93,3.079,-0.192,2.741,49.72,14437.21,3.487,3.61,3.828,4.384,593339.39,546558.16,0.006712,0.75,35348.05,6295.46
2020-01-06,1803890.8,2.96,-0.101,2.753,50.04,14437.29,3.439,3.364,3.642,4.396,593406.71,546641.86,0.006774,0.75,35115.73,6039.18
2020-01-07,1804095.43,2.859,0.059,2.78,50.51,14443.52,3.396,3.408,3.543,4.265,593475.41,546726.84,0.006759,0.75,35333.87,5883.38
2020-01-08,1804293.78,2.771,0.082,2.683,50.84,14446.15,3.353,3.437,3.63,4.179,593542.59,546810.43,0.006797,0.75,35195.78,5795.67
2020-01-09,1804487.03,2.699,0.125,2.812,51.08,14444.58,3.311,3.232,3.701,3.884,593609.12,546893.42,0.006788,0.75,35145.96,5635.36
2020-01-10,1804674.66,2.62,0.191,2.63,51.07,14446.12,3.272,3.248,3.615,4.104,593675.34,546976.12,0.006776,0.75,35205.34,5449.24
2020-01-13,1804857.02,2.546,0.286,2.446,50.98,14444.25,3.236,3.18,3.479,4.441,593742.07,547059.31,0.006787,0.75,35163.27,5454.1
2020-01-14,1805034.51,2.478,0.36,2.389,51.02,14450.56,3.202,3.25,3.69,4.353,593808.94,547142.63,0.006781,0.75,35281,5354.29
2020-01-15,1805204.09,2.368,0.357,2.385,51.13,14446.01,3.167,3.14,3.369,4.403,593873.14,547223.5,0.006796,0.75,35480.73,5207.14
2020-01-16,1805368.87,2.3,0.365,2.436,51.57,14455.63,3.133,3.242,3.482,4.025,593935.95,547303.09,0.006787,0.75,35393.44,5145.75
2020-01-17,1805527.37,2.212,0.369,2.535,51.64,14453.62,3.098,3.233,3.094,4.038,593996.79,547380.87,0.006721,0.75,35872.46,5146.22
2020-01-20,1805683.38,2.178,0.41,2.571,52.11,14452.14,3.065,3.055,3.261,3.933,594057.78,547458.79,0.006706,0.75,36113.29,5384.35
