Date,GDP,GDPGrowth,CPI,PPI,PMI,NonFarmPayroll,InterestRate,InterbankRate,TreasuryYield2Y,TreasuryYield10Y,M1,M2,ExchangeRate,PoliticalStability,MarginBalance,NorthFlow
2020-01-02,1258056.68,2.057,2.616,1.589,46.01,9813.23,3.377,3.159,3.498,4.735,885909.54,1411173.81,0.999265,0.85,198294.46,8211.95
2020-01-03,1258157.01,2.01,2.591,1.594,46.53,9813.17,3.402,3.717,3.545,4.296,886071.28,1411487.45,1.001373,0.85,199630.4,8083.86
2020-01-06,1258253.4,1.931,2.6,1.541,46.76,9809.41,3.427,3.423,3.682,4.226,886230.57,1411797.2,0.995039,0.85,198864.21,7856.02
2020-01-07,1258347.84,1.891,2.682,1.501,47.12,9813.29,3.452,3.527,3.671,4.682,886391.42,1412109.46,0.994062,0.85,197788.07,8019.02
2020-01-08,1258438.63,1.818,2.596,1.378,47.39,9810.8,3.474,3.488,3.815,4.567,886546.7,1412412.88,0.997148,0.85,197468.97,7824
2020-01-09,1258526.16,1.753,2.554,1.355,47.38,9805.88,3.494,3.494,3.617,4.691,886698.22,1412710.32,1.000523,0.85,197813.49,7677.08
2020-01-10,1258608.85,1.656,2.533,1.405,47.62,9815.1,3.512,3.464,3.846,4.679,886845.61,1413001.21,1.002344,0.85,198902.63,7356.79
2020-01-13,1258690.32,1.631,2.495,1.496,48.24,9808.74,3.528,3.434,3.699,4.455,886990.83,1413288.66,1.002677,0.85,198019.85,7336.51
2020-01-14,1258768.5,1.565,2.508,1.545,48.12,9807.83,3.543,3.546,3.947,4.635,887134.19,1413573.16,1.009782,0.85,197209.15,7116.75
2020-01-15,1258844.13,1.514,2.429,1.422,48.3,9811.37,3.555,3.678,3.58,4.377,887273.02,1413850.47,1.014717,0.85,196029.97,6903.74
2020-01-16,1258920.11,1.521,2.514,1.448,48.07,9814.56,3.57,3.706,3.833,4.594,887415.07,1414132.94,1.025915,0.85,195593.96,6863.78
2020-01-17,1258993.32,1.465,2.564,1.487,48.02,9818.01,3.585,3.627,3.794,4.712,887556.95,1414415.14,1.018822,0.85,195378.63,6645.58
2020-01-20,1259064.29,1.42,2.569,1.595,48.25,9819.74,3.599,3.613,3.857,4.511,887697.47,1414695.19,1.021946,0.85,195989.48,6717.65
2020-01-21,1259132.35,1.362,2.624,1.663,48.28,9813.23,3.615,3.812,3.953,4.315,887837.9,1414975.14,1.020512,0.85,196730.72,6381.29
2020-01-22,1259199.01,1.334,2.562,1.612,48.19,9818.44,3.628,3.593,3.8,4.385,887975.18,1415250.08,1.01843,0.85,196286.92,6481.43
2020-01-23,1259265.76,1.336,2.57,1.492,48.38,9815.48,3.641,3.602,3.83,4.832,888112.8,1415525.57,1.020826,0.85,198484.61,6444.82
2020-01-24,1259330.47,1.295,2.606,1.6,48.7,9816,3.654,3.946,3.933,4.717,888250.26,1415800.84,1.017623,0.85,197368.8,6144.96
2020-01-27,1259394.28,1.277,2.624,1.744,48.68,9815.48,3.667,3.487,3.888,4.482,888387.75,1416076.17,1.023455,0.85,197284.29,6013.3
