Date,FuturesPrice,SpotPrice,Basis,BasisPct
2020-01-02,49.2441,49.2586,-0.0145,-0.0003
2020-01-03,44.6521,44.5527,0.0994,0.0022
2020-01-06,40.5128,40.3394,0.1734,0.0043
2020-01-07,36.6945,36.5716,0.1228,0.0034
2020-01-08,33.301,33.2342,0.0668,0.002
2020-01-09,31.2919,31.1857,0.1061,0.0034
2020-01-10,29.2336,29.1144,0.1192,0.0041
2020-01-13,27.0525,27.0648,-0.0123,-0.0005
2020-01-14,25.2939,25.25,0.0439,0.0017
2020-01-15,24.1172,24.0402,0.077,0.0032
2020-01-16,22.5449,22.4812,0.0637,0.0028
2020-01-17,22.5904,22.5268,0.0636,0.0028
2020-01-20,21.6525,21.6041,0.0484,0.0022
2020-01-21,20.901,20.8661,0.0349,0.0017
2020-01-22,20.6244,20.6029,0.0215,0.001
2020-01-23,20.3666,20.2481,0.1185,0.0059
2020-01-24,20.4337,20.3424,0.0913,0.0045
2020-01-27,19.6188,19.5207,0.098,0.005
2020-01-28,19.746,19.6557,0.0903,0.0046
2020-01-29,18.0281,17.9676,0.0605,0.0034
2020-01-30,18.2214,18.1691,0.0522,0.0029
2020-01-31,17.8642,17.8074,0.0568,0.0032
2020-02-03,18.2664,18.2244,0.042,0.0023
2020-02-04,18.1877,18.0557,0.132,0.0073
2020-02-05,17.8685,17.831,0.0375,0.0021
2020-02-06,18.4022,18.3429,0.0593,0.0032
2020-02-07,18.3512,18.2998,0.0514,0.0028
2020-02-10,17.6139,17.5545,0.0594,0.0034
2020-02-11,18.5014,18.4873,0.0141,0.0008
2020-02-12,18.5696,18.4865,0.0832,0.0045
2020-02-13,18.1165,18.0791,0.0373,0.0021
2020-02-14,18.3506,18.2854,0.0651,0.0036
2020-02-17,17.2339,17.1607,0.0732,0.0043
2020-02-18,16.3187,16.248,0.0707,0.0044
2020-02-19,17.018,16.9326,0.0854,0.005
2020-02-20,17.7677,17.7269,0.0408,0.0023
2020-02-21,17.0869,17.0106,0.0763,0.0045
2020-02-24,17.2368,17.1587,0.0781,0.0046
2020-02-25,17.6262,17.5802,0.046,0.0026
2020-02-26,17.4774,17.4357,0.0417,0.0024
2020-02-27,17.2482,17.1574,0.0908,0.0053
2020-02-28,17.7112,17.6383,0.0729,0.0041
