Date,FuturesPrice,SpotPrice,Basis,BasisPct
2020-01-02,26.6465,26.531,0.1155,0.0044
2020-01-03,26.0631,26.0655,-0.0024,-0.0001
2020-01-06,25.8608,25.8653,-0.0044,-0.0002
2020-01-07,25.8992,25.9257,-0.0265,-0.001
2020-01-08,26.3731,26.2448,0.1282,0.0049
2020-01-09,27.0447,27.0085,0.0362,0.0013
2020-01-10,26.4089,26.3115,0.0974,0.0037
2020-01-13,27.8806,27.8392,0.0414,0.0015
2020-01-14,26.9789,26.9353,0.0436,0.0016
2020-01-15,26.7091,26.7148,-0.0057,-0.0002
2020-01-16,25.0804,25.0216,0.0588,0.0024
2020-01-17,27.0371,27.091,-0.0539,-0.002
2020-01-20,25.0719,25.0552,0.0166,0.0007
2020-01-21,24.1485,24.1569,-0.0084,-0.0003
2020-01-22,25.1226,25.0494,0.0731,0.0029
2020-01-23,24.7258,24.6878,0.038,0.0015
2020-01-24,26.2224,26.1163,0.106,0.0041
2020-01-27,24.1106,24.0384,0.0722,0.003
2020-01-28,25.618,25.4558,0.1623,0.0064
2020-01-29,24.848,24.7983,0.0498,0.002
2020-01-30,26.5502,26.4467,0.1035,0.0039
2020-01-31,24.47,24.3802,0.0897,0.0037
2020-02-03,24.5926,24.5253,0.0674,0.0027
2020-02-04,25.4697,25.4028,0.0669,0.0026
2020-02-05,25.127,25.0061,0.1209,0.0048
2020-02-06,25.7422,25.7215,0.0207,0.0008
2020-02-07,24.0213,23.9512,0.07,0.0029
2020-02-10,25.5341,25.5874,-0.0532,-0.0021
2020-02-11,25.5079,25.5036,0.0044,0.0002
2020-02-12,25.3643,25.2407,0.1236,0.0049
2020-02-13,25.6479,25.5804,0.0676,0.0026
2020-02-14,24.7832,24.7228,0.0604,0.0024
2020-02-17,25.2265,25.0738,0.1527,0.0061
2020-02-18,24.5007,24.3826,0.118,0.0048
2020-02-19,25.1082,25.0134,0.0948,0.0038
2020-02-20,23.2686,23.1319,0.1367,0.0059
2020-02-21,22.6747,22.6249,0.0498,0.0022
2020-02-24,24.6087,24.5166,0.0921,0.0038
2020-02-25,23.7635,23.7213,0.0423,0.0018
2020-02-26,25.2074,25.0426,0.1648,0.0066
2020-02-27,23.3768,23.2979,0.0789,0.0034
2020-02-28,24.1695,24.1368,0.0326,0.0014
