Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9804,0,52.98,0.3388,0.6612,76.55
2020-01-03,-0.9737,0,26.35,0.2954,0.7046,95.63
2020-01-06,-0.9412,0,24.63,0.3514,0.6486,100
2020-01-07,-0.965,0,17.52,0.402,0.598,100
2020-01-08,-0.9612,0,16.62,0.3821,0.6179,100
2020-01-09,0.3169,0,21.14,0.5846,0.4154,100
2020-01-10,-0.4931,0,21.63,0.4147,0.5853,100
2020-01-13,-0.5167,0,21.63,0.438,0.562,100
2020-01-14,-0.7518,0,25.32,0.4203,0.5797,100
2020-01-15,0.3225,0,16.1,0.5885,0.4115,100
2020-01-16,-0.9692,0,49.26,0.3182,0.6818,100
2020-01-17,0.9611,0,19.51,0.615,0.385,100
2020-01-20,-0.7507,0,18.8,0.4336,0.5664,100
2020-01-21,-0.4612,0,50.26,0.4208,0.5792,100
2020-01-22,-0.2416,0,14.17,0.4257,0.5743,100
2020-01-23,-0.0681,0,19.3,0.4599,0.5401,100
2020-01-24,0.6914,0,20.94,0.6213,0.3787,100
2020-01-27,-0.6207,0,23.09,0.4419,0.5581,100
2020-01-28,0.8007,0,34.07,0.6046,0.3954,100
2020-01-29,-0.9689,0,20.61,0.3429,0.6571,100
2020-01-30,0.8312,0,24.92,0.6447,0.3553,100
2020-01-31,0.1278,0,16.97,0.6074,0.3926,100
2020-02-03,0.1903,0,17.46,0.4767,0.5233,100
2020-02-04,0.2026,0,20.47,0.4866,0.5134,100
2020-02-05,0.3975,0,22.95,0.6104,0.3896,100
2020-02-06,0.0958,0,28.61,0.6,0.4,100
2020-02-07,0.3293,0,32.61,0.5351,0.4649,100
2020-02-10,-0.9551,0,22.2,0.328,0.672,100
2020-02-11,0.9409,0,22.71,0.5991,0.4009,100
2020-02-12,0.3115,0,24.58,0.525,0.475,100
2020-02-13,-0.7014,0,22.69,0.3975,0.6025,100
2020-02-14,-0.6556,0,15.1,0.3926,0.6074,100
2020-02-17,-0.8553,0,32.53,0.3367,0.6633,100
2020-02-18,-0.7823,0,43.45,0.3432,0.6568,100
2020-02-19,0.7052,0,16.36,0.6607,0.3393,100
2020-02-20,0.838,0,19.8,0.6139,0.3861,100
2020-02-21,-0.955,0,19.8,0.3521,0.6479,100
2020-02-24,0.5086,0,13.89,0.5536,0.4464,100
2020-02-25,0.76,0,17.69,0.5978,0.4022,100
2020-02-26,0.1529,0,20.68,0.5223,0.4777,100
2020-02-27,-0.9533,0,22.68,0.366,0.634,100
2020-02-28,0.9631,0,26.07,0.6343,0.3657,100
