Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9462,0,103.1,0.4071,0.5929,100
2020-01-03,-0.9684,0,81.54,0.2992,0.7008,100
2020-01-06,-0.9742,0,96.16,0.3821,0.6179,100
2020-01-07,-0.9611,0,72.98,0.3492,0.6508,100
2020-01-08,-0.9618,0,64.85,0.3537,0.6463,100
2020-01-09,-0.9775,0,71.35,0.3636,0.6364,100
2020-01-10,-0.963,0,49.41,0.3263,0.6737,100
2020-01-13,-0.9671,0,57.55,0.3925,0.6075,100
2020-01-14,-0.9753,0,42.74,0.3969,0.6031,100
2020-01-15,-0.9712,0,36.6,0.3611,0.6389,100
2020-01-16,-0.97,0,56.3,0.3323,0.6677,100
2020-01-17,-0.0642,0,41.37,0.4661,0.5339,100
2020-01-20,-0.5284,0,40.7,0.3795,0.6205,100
2020-01-21,-0.0694,0,33.49,0.5294,0.4706,100
2020-01-22,-0.2347,0,34.78,0.5048,0.4952,100
2020-01-23,-0.2326,0,31.81,0.4396,0.5604,100
2020-01-24,0.6257,0,34.52,0.5817,0.4183,100
2020-01-27,-0.1422,0,31.3,0.4649,0.5351,100
2020-01-28,0.9873,1,131.71,0.6793,0.3207,100
2020-01-29,-0.9709,0,39.52,0.3149,0.6851,100
2020-01-30,-0.175,0,29.88,0.5041,0.4959,100
2020-01-31,0.1561,0,28.11,0.5392,0.4608,100
2020-02-03,-0.6396,0,42.5,0.3953,0.6047,100
2020-02-04,-0.4423,0,46.9,0.4322,0.5678,100
2020-02-05,0.8957,0,27.35,0.6564,0.3436,100
2020-02-06,0.0923,0,26.67,0.5426,0.4574,100
2020-02-07,-0.779,0,44.28,0.3716,0.6284,100
2020-02-10,-0.6822,0,53.01,0.4168,0.5832,100
2020-02-11,0.9495,0,36.67,0.6099,0.3901,100
2020-02-12,0.4066,0,39.65,0.5841,0.4159,100
2020-02-13,0.5044,1,70.6,0.5541,0.4459,100
2020-02-14,-0.7876,0,27.67,0.3459,0.6541,100
2020-02-17,-0.5049,0,31.97,0.4356,0.5644,100
2020-02-18,0.5075,0,33.86,0.6108,0.3892,100
2020-02-19,0.2037,0,46.15,0.5484,0.4516,100
2020-02-20,0.2788,0,45.32,0.5016,0.4984,100
2020-02-21,-0.6987,0,37.58,0.3547,0.6453,100
2020-02-24,0.5744,0,48.26,0.5497,0.4503,100
2020-02-25,-0.7,0,29.3,0.4299,0.5701,100
2020-02-26,0.7661,0,37.99,0.6079,0.3921,100
2020-02-27,-0.1044,0,33.76,0.4635,0.5365,100
2020-02-28,0.4584,0,41.09,0.5724,0.4276,100
