Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.5507,0,21.29,0.3751,0.6249,64.82
2020-01-03,-0.9376,0,19.26,0.3617,0.6383,85.36
2020-01-06,-0.1831,0,23.14,0.5226,0.4774,76.85
2020-01-07,0.1751,0,17.53,0.5573,0.4427,77.63
2020-01-08,0.6249,0,21.41,0.6136,0.3864,81.21
2020-01-09,-0.5563,0,20.26,0.4146,0.5854,82.67
2020-01-10,0.2829,0,20.08,0.5717,0.4283,89.98
2020-01-13,0.1504,0,22.37,0.5328,0.4672,81.64
2020-01-14,0.3738,0,24.83,0.5444,0.4556,82.41
2020-01-15,-0.5453,0,18.82,0.4165,0.5835,86.63
2020-01-16,-0.5216,0,27.28,0.3924,0.6076,86.31
2020-01-17,-0.1189,0,21.37,0.4772,0.5228,85.12
2020-01-20,0.1558,0,24.46,0.4618,0.5382,83.4
2020-01-21,0.1806,0,18.19,0.5257,0.4743,80.21
2020-01-22,-0.4902,0,21.15,0.4413,0.5587,83.36
2020-01-23,0.3842,0,21.5,0.5937,0.4063,82.46
2020-01-24,-0.2654,0,21.04,0.4019,0.5981,83.08
2020-01-27,0.2265,0,25.92,0.5359,0.4641,79.37
2020-01-28,0.8377,0,32.86,0.6997,0.3003,92.56
2020-01-29,-0.3778,0,20.65,0.4941,0.5059,87.58
2020-01-30,-0.3152,0,20.34,0.4452,0.5548,92
2020-01-31,0.6033,0,20.94,0.5812,0.4188,95.31
2020-02-03,0.1103,0,19.06,0.4883,0.5117,87.2
2020-02-04,-0.374,0,21.78,0.5206,0.4794,87.89
2020-02-05,-0.0984,0,21.98,0.4823,0.5177,83.19
2020-02-06,-0.022,0,18.34,0.5017,0.4983,81.46
2020-02-07,0.3348,0,19.42,0.5654,0.4346,80.47
2020-02-10,-0.4538,0,26.31,0.4384,0.5616,78.98
2020-02-11,0.6527,0,29.71,0.5733,0.4267,83.89
2020-02-12,-0.1267,0,25.95,0.4902,0.5098,85.98
2020-02-13,-0.7765,0,33.02,0.3779,0.6221,90.16
2020-02-14,0.5668,0,20.39,0.5656,0.4344,93.89
2020-02-17,-0.4531,0,21.46,0.3966,0.6034,93.51
2020-02-18,0.2918,0,21.38,0.5804,0.4196,95.66
2020-02-19,-0.7146,0,24.88,0.4352,0.5648,100
2020-02-20,-0.1338,0,19.45,0.5256,0.4744,91.22
2020-02-21,0.9095,0,29.74,0.6165,0.3835,100
2020-02-24,-0.8556,0,26.18,0.3212,0.6788,100
2020-02-25,0.6667,0,19.38,0.5732,0.4268,100
2020-02-26,-0.2201,0,21.98,0.474,0.526,100
2020-02-27,0.7229,0,24.7,0.5864,0.4136,100
2020-02-28,-0.4529,0,18.37,0.4645,0.5355,100
