Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,0.9282,0,7.79,0.6103,0.3897,86.01
2020-01-03,0.9612,0,6.52,0.5737,0.4263,100
2020-01-06,0.9814,1,12.17,0.6523,0.3477,100
2020-01-07,0.9654,0,6.67,0.6539,0.3461,100
2020-01-08,0.9586,0,7.82,0.6594,0.3406,100
2020-01-09,0.9612,0,7.56,0.6422,0.3578,100
2020-01-10,0.9724,0,11.82,0.6135,0.3865,100
2020-01-13,0.9771,0,13.65,0.6373,0.3627,100
2020-01-14,0.946,0,16.34,0.712,0.288,100
2020-01-15,0.9714,0,17.25,0.6209,0.3791,100
2020-01-16,0.8024,1,52.73,0.5689,0.4311,100
2020-01-17,0.9553,0,20.87,0.6543,0.3457,100
2020-01-20,0.9608,0,14.63,0.6537,0.3463,100
2020-01-21,-0.8111,1,41.24,0.3959,0.6041,100
2020-01-22,0.7128,0,15.17,0.6478,0.3522,100
2020-01-23,0.0579,0,20.72,0.516,0.484,100
2020-01-24,-0.737,0,16.69,0.4096,0.5904,100
2020-01-27,0.5752,0,21.61,0.5801,0.4199,100
2020-01-28,0.4404,0,29.19,0.5939,0.4061,100
2020-01-29,0.8654,0,27.44,0.6566,0.3434,100
2020-01-30,-0.978,0,27.1,0.3324,0.6676,100
2020-01-31,0.9229,0,23.53,0.657,0.343,100
2020-02-03,-0.6295,0,17.57,0.3653,0.6347,100
2020-02-04,-0.4105,0,17.26,0.4509,0.5491,100
2020-02-05,0.2347,0,16.8,0.5027,0.4973,100
2020-02-06,0.1522,0,22.67,0.5003,0.4997,100
2020-02-07,0.992,1,70.38,0.6825,0.3175,100
2020-02-10,0.3132,0,30.61,0.5182,0.4818,100
2020-02-11,-0.9643,0,19.5,0.3116,0.6884,100
2020-02-12,-0.8756,0,22.14,0.3712,0.6288,100
2020-02-13,0.9399,0,22.08,0.6475,0.3525,100
2020-02-14,-0.6947,0,15.44,0.3948,0.6052,100
2020-02-17,-0.8304,0,29.18,0.382,0.618,100
2020-02-18,-0.7226,1,40.6,0.3919,0.6081,100
2020-02-19,0.9664,0,26.1,0.6728,0.3272,100
2020-02-20,0.4513,0,24.39,0.5477,0.4523,100
2020-02-21,-0.9613,0,19.96,0.4191,0.5809,100
2020-02-24,-0.3639,0,16.89,0.4303,0.5697,100
2020-02-25,0.7833,0,13.86,0.6055,0.3945,100
2020-02-26,-0.0517,0,13.43,0.5168,0.4832,100
2020-02-27,0.1057,0,13.43,0.4515,0.5485,100
2020-02-28,-0.195,0,14.57,0.4469,0.5531,100
