Date,OrderImbalance,LargeOrderCount,LargeOrderAmount,BuyRatio,SellRatio,Slippage
2020-01-02,-0.9731,0,38.18,0.3769,0.6231,100
2020-01-03,-0.9645,0,17.05,0.3762,0.6238,100
2020-01-06,-0.8445,0,23.56,0.3558,0.6442,100
2020-01-07,-0.9462,0,18.33,0.3611,0.6389,100
2020-01-08,0.6982,0,21.54,0.5547,0.4453,100
2020-01-09,-0.7339,0,14.48,0.4069,0.5931,100
2020-01-10,0.2156,0,17.21,0.5752,0.4248,100
2020-01-13,0.1862,0,22.01,0.5439,0.4561,100
2020-01-14,-0.8716,0,22.81,0.4223,0.5777,100
2020-01-15,0.7554,0,17.32,0.6253,0.3747,100
2020-01-16,-0.9915,0,47.66,0.3246,0.6754,100
2020-01-17,0.6708,0,14.86,0.6114,0.3886,100
2020-01-20,0.3292,0,16.13,0.5773,0.4227,100
2020-01-21,-0.9917,0,43.22,0.3834,0.6166,100
2020-01-22,0.9711,0,20.09,0.7003,0.2997,100
2020-01-23,-0.8996,0,21.69,0.3922,0.6078,100
2020-01-24,0.9737,0,18.97,0.6228,0.3772,100
2020-01-27,0.9523,0,36.69,0.6242,0.3758,100
2020-01-28,-0.9214,0,35.52,0.3398,0.6602,100
2020-01-29,-0.8239,0,15.22,0.3786,0.6214,100
2020-01-30,0.7716,0,25.59,0.649,0.351,100
2020-01-31,-0.3768,0,13.14,0.4165,0.5835,100
2020-02-03,-0.787,0,18.19,0.3289,0.6711,100
2020-02-04,0.4296,0,19.08,0.574,0.426,100
2020-02-05,0.8651,0,17.03,0.6604,0.3396,100
2020-02-06,-0.9329,0,30.07,0.392,0.608,100
2020-02-07,0.9921,0,39.23,0.6767,0.3233,100
2020-02-10,0.724,0,22.32,0.6436,0.3564,100
2020-02-11,-0.4807,0,21.43,0.3603,0.6397,100
2020-02-12,0.8848,0,29.41,0.6678,0.3322,100
2020-02-13,-0.9621,0,20.58,0.369,0.631,100
2020-02-14,0.4873,0,17.28,0.6079,0.3921,100
2020-02-17,-0.9748,0,29.03,0.3562,0.6438,100
2020-02-18,-0.7404,0,38.64,0.3395,0.6605,100
2020-02-19,-0.5257,0,20.32,0.3944,0.6056,100
2020-02-20,0.9683,0,13.48,0.6337,0.3663,100
2020-02-21,0.368,0,16.93,0.5206,0.4794,100
2020-02-24,0.556,0,21.47,0.5854,0.4146,100
2020-02-25,0.587,0,24.46,0.5719,0.4281,100
2020-02-26,-0.8064,0,15.52,0.4121,0.5879,100
2020-02-27,0.7882,0,23.29,0.5947,0.4053,100
2020-02-28,-0.884,0,12.5,0.3795,0.6205,100
