Date,Price,Volume,ChangePct
2020-01-02,35.1084,2033.01,-0.6928
2020-01-03,17.7904,1993.67,-0.8443
2020-01-06,9.6428,2024.07,-0.9156
2020-01-07,5.0573,2063.1,-0.9557
2020-01-08,2.8363,2108.89,-0.9752
2020-01-09,1.6835,2099.39,-0.9853
2020-01-10,1.1172,2070.28,-0.9902
2020-01-13,1,2041.52,-0.9912
2020-01-14,1,2058.9,-0.9912
2020-01-15,1,2057.92,-0.9912
2020-01-16,1,2061.54,-0.9912
2020-01-17,1,2086.6,-0.9912
2020-01-20,1,2051.64,-0.9912
2020-01-21,1,2041.06,-0.9912
2020-01-22,1,2058.04,-0.9912
2020-01-23,1,2053.23,-0.9912
2020-01-24,1,1993.45,-0.9912
2020-01-27,1,1967.52,-0.9912
2020-01-28,1,1995.6,-0.9912
2020-01-29,1,2035.71,-0.9912
2020-01-30,1,2021.51,-0.9912
2020-01-31,1,1994.37,-0.9912
2020-02-03,1,1996.54,-0.9912
2020-02-04,1,1966.88,-0.9912
2020-02-05,1,1973.34,-0.9912
2020-02-06,1,1989.84,-0.9912
2020-02-07,1,2003.52,-0.9912
2020-02-10,1,1988.35,-0.9912
2020-02-11,1,1996.76,-0.9912
2020-02-12,1,2012.49,-0.9912
2020-02-13,1,2031.23,-0.9912
2020-02-14,1,2057.31,-0.9912
2020-02-17,1,2092.51,-0.9912
2020-02-18,1,2117.91,-0.9912
2020-02-19,1,2158.89,-0.9912
2020-02-20,1,2169.08,-0.9912
2020-02-21,1,2208.98,-0.9912
2020-02-24,1,2235.55,-0.9912
2020-02-25,1,2207.77,-0.9912
2020-02-26,1,2194.1,-0.9912
2020-02-27,1,2199.4,-0.9912
2020-02-28,1,2179.23,-0.9912
