Date,Price,Volume,ChangePct
2020-01-02,55.834,2279.68,-0.4917
2020-01-03,36.6386,2450.46,-0.6664
2020-01-06,25.7105,2593.13,-0.7659
2020-01-07,19.0725,2672.5,-0.8264
2020-01-08,14.5861,2735.86,-0.8672
2020-01-09,11.757,2797.15,-0.893
2020-01-10,9.2901,2850.21,-0.9154
2020-01-13,7.337,2893.26,-0.9332
2020-01-14,5.8504,2900.09,-0.9467
2020-01-15,4.6129,2900.09,-0.958
2020-01-16,3.7243,2900.09,-0.9661
2020-01-17,2.9377,2900.09,-0.9733
2020-01-20,2.3649,2900.09,-0.9785
2020-01-21,1.9006,2900.09,-0.9827
2020-01-22,1.5834,2900.09,-0.9856
2020-01-23,1.3286,2900.09,-0.9879
2020-01-24,1.1372,2900.09,-0.9896
2020-01-27,1.0135,2900.09,-0.9908
2020-01-28,1,2900.09,-0.9909
2020-01-29,1,2900.09,-0.9909
2020-01-30,1,2900.09,-0.9909
2020-01-31,1,2900.09,-0.9909
2020-02-03,1,2900.09,-0.9909
2020-02-04,1,2900.09,-0.9909
2020-02-05,1,2900.09,-0.9909
2020-02-06,1,2900.09,-0.9909
2020-02-07,1,2900.09,-0.9909
2020-02-10,1,2900.09,-0.9909
2020-02-11,1,2890.36,-0.9909
2020-02-12,1,2900.09,-0.9909
2020-02-13,1,2900.09,-0.9909
2020-02-14,1,2900.09,-0.9909
2020-02-17,1,2900.09,-0.9909
2020-02-18,1,2900.09,-0.9909
2020-02-19,1,2900.09,-0.9909
2020-02-20,1,2900.09,-0.9909
2020-02-21,1,2900.09,-0.9909
2020-02-24,1,2900.09,-0.9909
2020-02-25,1,2900.09,-0.9909
2020-02-26,1,2900.09,-0.9909
2020-02-27,1,2900.09,-0.9909
2020-02-28,1,2900.09,-0.9909
