Date,Price,Volume,ChangePct
2020-01-02,83.946,2084.3,-0.4273
2020-01-03,56.4216,2082.35,-0.6151
2020-01-06,40.5678,2150.54,-0.7233
2020-01-07,29.1017,2140.4,-0.8015
2020-01-08,22.0814,2105.96,-0.8494
2020-01-09,16.8689,2121.45,-0.8849
2020-01-10,12.794,2130.52,-0.9127
2020-01-13,9.9084,2162.96,-0.9324
2020-01-14,7.6715,2204.68,-0.9477
2020-01-15,5.9454,2234.46,-0.9594
2020-01-16,4.6264,2245.6,-0.9684
2020-01-17,3.7332,2238.07,-0.9745
2020-01-20,3.1278,2230.16,-0.9787
2020-01-21,2.5447,2230.71,-0.9826
2020-01-22,2.1277,2226.63,-0.9855
2020-01-23,1.7894,2223.13,-0.9878
2020-01-24,1.5384,2202.38,-0.9895
2020-01-27,1.3355,2218.72,-0.9909
2020-01-28,1.1799,2200.81,-0.992
2020-01-29,1.0598,2189.02,-0.9928
2020-01-30,0.995,2199.07,-0.9932
2020-01-31,0.995,2214.97,-0.9932
2020-02-03,0.995,2217.66,-0.9932
2020-02-04,0.995,2181.74,-0.9932
2020-02-05,0.995,2170.72,-0.9932
2020-02-06,0.995,2165.52,-0.9932
2020-02-07,0.995,2165.93,-0.9932
2020-02-10,0.995,2176.71,-0.9932
2020-02-11,0.995,2170.62,-0.9932
2020-02-12,0.995,2184.12,-0.9932
2020-02-13,0.995,2188.85,-0.9932
2020-02-14,0.995,2196.58,-0.9932
2020-02-17,0.995,2203.44,-0.9932
2020-02-18,0.995,2195.03,-0.9932
2020-02-19,0.995,2208.52,-0.9932
2020-02-20,0.995,2201.7,-0.9932
2020-02-21,0.995,2185.61,-0.9932
2020-02-24,0.995,2174.21,-0.9932
2020-02-25,0.995,2165.02,-0.9932
2020-02-26,0.995,2166.21,-0.9932
2020-02-27,0.995,2128.17,-0.9932
2020-02-28,0.995,2155.09,-0.9932
