Date,VehicleCount,RevenueProxy
2020-01-02,40,4567.17
2020-01-03,38,4597.33
2020-01-06,40,4566.96
2020-01-07,48,4578.14
2020-01-08,44,4575.2
2020-01-09,42,4585.68
2020-01-10,51,4575.85
2020-01-13,52,4581.18
2020-01-14,40,4536.08
2020-01-15,45,4557.77
2020-01-16,48,4432.27
2020-01-17,38,4573.15
2020-01-20,46,4555.42
2020-01-21,42,4518.15
2020-01-22,51,4582.38
2020-01-23,38,4560.64
2020-01-24,51,4567.44
2020-01-27,43,4525.7
2020-01-28,49,4583.43
2020-01-29,50,4528.97
2020-01-30,41,4488.24
2020-01-31,42,4482.7
2020-02-03,49,4489.46
2020-02-04,46,4451.51
2020-02-05,42,4469.29
2020-02-06,37,4502.8
2020-02-07,41,4506.43
2020-02-10,39,4392.51
2020-02-11,49,4378.6
2020-02-12,41,4494.07
2020-02-13,42,4304.67
2020-02-14,46,4442.51
2020-02-17,45,4397.25
2020-02-18,35,4337.39
2020-02-19,52,4395.91
2020-02-20,43,4427.64
2020-02-21,38,4539.95
2020-02-24,44,4396.21
2020-02-25,48,4408.3
2020-02-26,37,4409.6
2020-02-27,45,4398.72
2020-02-28,50,4386.44
