Date,VehicleCount,RevenueProxy
2020-01-02,49,4675.23
2020-01-03,39,4728.55
2020-01-06,47,4720.98
2020-01-07,39,4754.24
2020-01-08,53,4752.54
2020-01-09,42,4761.81
2020-01-10,38,4758.71
2020-01-13,53,4762.41
2020-01-14,48,4723.55
2020-01-15,48,4758.19
2020-01-16,41,4612.23
2020-01-17,39,4749.49
2020-01-20,38,4735.6
2020-01-21,50,4678.28
2020-01-22,51,4777.22
2020-01-23,54,4713.23
2020-01-24,50,4725.67
2020-01-27,44,4695.62
2020-01-28,54,4764.32
2020-01-29,56,4703.16
2020-01-30,51,4671.01
2020-01-31,47,4710.42
2020-02-03,49,4712.82
2020-02-04,51,4668.64
2020-02-05,55,4704.18
2020-02-06,55,4722.17
2020-02-07,49,4715.29
2020-02-10,42,4650.82
2020-02-11,48,4630.94
2020-02-12,42,4728.88
2020-02-13,46,4522.46
2020-02-14,46,4658.06
2020-02-17,50,4635.85
2020-02-18,45,4577.01
2020-02-19,38,4629.29
2020-02-20,47,4651.19
2020-02-21,59,4997.97
2020-02-24,53,4657.08
2020-02-25,46,4671.23
2020-02-26,53,4694.04
2020-02-27,55,4682.61
2020-02-28,39,4685.33
