Date,VehicleCount,RevenueProxy
2020-01-02,10,1167.09
2020-01-03,14,1169.32
2020-01-06,11,1131.6
2020-01-07,12,1162.22
2020-01-08,13,1160.31
2020-01-09,12,1162.07
2020-01-10,13,1159.96
2020-01-13,11,1157.87
2020-01-14,11,1150.54
2020-01-15,12,1151.04
2020-01-16,12,1145.43
2020-01-17,13,1160.44
2020-01-20,12,1154.55
2020-01-21,13,1144.81
2020-01-22,10,1154.36
2020-01-23,10,1134.34
2020-01-24,12,1151.43
2020-01-27,12,1117.7
2020-01-28,13,1156.3
2020-01-29,12,1151.74
2020-01-30,10,1147.02
2020-01-31,10,1148.35
2020-02-03,13,1156.47
2020-02-04,10,1156.08
2020-02-05,13,1155.07
2020-02-06,13,1155.34
2020-02-07,9,1154.43
2020-02-10,12,1155.26
2020-02-11,11,1154.28
2020-02-12,10,1158.37
2020-02-13,12,1159.19
2020-02-14,11,1165.05
2020-02-17,11,1162.31
2020-02-18,10,1155.74
2020-02-19,10,1161.5
2020-02-20,12,1165.42
2020-02-21,12,1165.31
2020-02-24,14,1163.58
2020-02-25,14,1164.12
2020-02-26,9,1162.41
2020-02-27,13,1162.24
2020-02-28,13,1161.13
