Date,Rate,ChangePct
2020-01-02,0.006687,-0.00201
2020-01-03,0.006712,0.00375
2020-01-06,0.006774,0.00927
2020-01-07,0.006759,-0.00226
2020-01-08,0.006797,0.0057
2020-01-09,0.006788,-0.00128
2020-01-10,0.006776,-0.00182
2020-01-13,0.006787,0.00157
2020-01-14,0.006781,-0.00076
2020-01-15,0.006796,0.00207
2020-01-16,0.006787,-0.00119
2020-01-17,0.006721,-0.00975
2020-01-20,0.006706,-0.00233
2020-01-21,0.0067,-0.00078
2020-01-22,0.006722,0.00316
2020-01-23,0.006726,0.00069
2020-01-24,0.006745,0.0028
2020-01-27,0.006736,-0.00135
2020-01-28,0.006767,0.00469
2020-01-29,0.006746,-0.00313
2020-01-30,0.006697,-0.00731
2020-01-31,0.006726,0.0043
2020-02-03,0.006739,0.00196
2020-02-04,0.006834,0.01406
2020-02-05,0.006797,-0.00543
2020-02-06,0.006796,-8E-05
2020-02-07,0.006759,-0.00541
2020-02-10,0.006762,0.00039
2020-02-11,0.006793,0.00461
2020-02-12,0.006752,-0.00599
2020-02-13,0.00678,0.00405
2020-02-14,0.006759,-0.00299
2020-02-17,0.006726,-0.00498
2020-02-18,0.006738,0.00185
2020-02-19,0.006708,-0.00442
2020-02-20,0.006695,-0.00203
2020-02-21,0.006723,0.00426
2020-02-24,0.006702,-0.00321
2020-02-25,0.006733,0.00466
2020-02-26,0.006648,-0.01265
2020-02-27,0.006636,-0.00183
2020-02-28,0.006596,-0.00603
