Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,3432.5,1852.23,538.34,781.45,14148.23,6043.93,8104.3,1593.26,1124.7,674.82,356.57,0.3396,0.1,0.2596,0.0568,0.4257,0.4604,0.2277,0.0964,0.0552
2020-01-03,3438.24,1935.65,539.23,722.51,14509.48,5682.67,8826.81,2233.06,1066.33,639.8,356.57,0.3396,0.1,0.2611,0.0568,0.4257,0.437,0.2101,0.0819,0.0498
2020-01-06,3439.35,1989.33,539.41,682.95,14850.96,5341.2,9509.76,2849.19,1026.89,616.13,356.57,0.3396,0.1,0.2634,0.0568,0.4257,0.4216,0.1986,0.0718,0.046
2020-01-07,3436.37,2024.35,538.94,654.81,15178.36,5013.79,10164.58,3448.26,998.45,599.07,356.57,0.3396,0.1,0.2586,0.0568,0.4257,0.4109,0.1906,0.0644,0.0431
2020-01-08,3429.1,2043.71,537.8,635.69,15496.21,4695.94,10800.27,4035.43,978.6,587.16,356.57,0.3396,0.1,0.2593,0.0568,0.4257,0.404,0.1854,0.0589,0.041
2020-01-09,3432.53,2058.68,538.34,626.64,15809.53,4382.62,11426.91,4617.36,969.89,581.93,356.57,0.3396,0.1,0.2618,0.0568,0.4257,0.4002,0.1826,0.0548,0.0396
2020-01-10,3436.18,2068.59,538.91,621.51,16120.28,4071.87,12048.42,5196.44,965.13,579.08,356.57,0.3396,0.1,0.2612,0.0568,0.4257,0.398,0.1809,0.0516,0.0386
2020-01-13,3434.23,2071.33,538.61,618.22,16429.39,3762.76,12666.63,5773.42,961.64,576.98,356.57,0.3396,0.1,0.2634,0.0568,0.4257,0.3969,0.18,0.0488,0.0376
2020-01-14,3425.29,2065.94,537.2,616.61,16737.7,3454.46,13283.24,6348.9,959.14,575.48,356.57,0.3396,0.1,0.2667,0.0568,0.4257,0.3969,0.18,0.0464,0.0368
2020-01-15,3411.46,2057.6,535.04,614.12,17044.75,3147.4,13897.36,6922.06,955.26,573.16,356.57,0.3396,0.1,0.2674,0.0568,0.4257,0.3969,0.18,0.0442,0.036
2020-01-16,3400.85,2051.2,533.37,612.21,17350.86,2841.29,14509.56,7493.43,952.29,571.38,356.57,0.3396,0.1,0.2694,0.0568,0.4257,0.3969,0.18,0.0422,0.0353
2020-01-17,3386.62,2042.62,531.14,609.65,17655.68,2536.47,15119.21,8062.42,948.31,568.99,356.57,0.3396,0.1,0.2683,0.0568,0.4257,0.3969,0.18,0.0403,0.0345
2020-01-20,3383.03,2040.46,530.58,609,17960.18,2231.97,15728.21,8630.8,947.3,568.38,356.57,0.3396,0.1,0.27,0.0568,0.4257,0.3969,0.18,0.0387,0.0339
2020-01-21,3375.57,2035.96,529.41,607.66,18264.01,1928.14,16335.87,9197.93,945.21,567.13,356.57,0.3396,0.1,0.2692,0.0568,0.4257,0.3969,0.18,0.0372,0.0333
2020-01-22,3361.66,2027.56,527.23,605.15,18566.59,1625.57,16941.02,9762.72,941.32,564.79,356.57,0.3396,0.1,0.2718,0.0568,0.4257,0.3969,0.18,0.0357,0.0326
2020-01-23,3370.16,2032.69,528.56,606.68,18869.93,1322.22,17547.7,10328.94,943.7,566.22,356.57,0.3396,0.1,0.2702,0.0568,0.4257,0.3969,0.18,0.0346,0.0322
