Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,2880.63,1320.83,663.23,672.43,3110.4,888.08,2222.32,2533.27,960.5,576.3,346.67,0.6421,0.1408,0.1804,0.1302,0.7603,0.5415,0.2334,0.3026,0.2162
2020-01-03,2888.74,1243.8,665.09,734.88,3477.84,520.64,2957.2,3147.53,1023.76,614.25,346.67,0.6421,0.1408,0.1836,0.1302,0.7603,0.5694,0.2544,0.2485,0.2113
2020-01-06,2882.47,1205.56,663.65,759.94,3857.81,140.66,3717.15,3776.44,1048.19,628.91,346.67,0.6421,0.1408,0.182,0.1302,0.7603,0.5818,0.2636,0.2044,0.197
2020-01-07,2891.54,1190.17,665.74,776.72,4246.17,-247.7,4493.87,4415.97,1065.88,639.53,346.67,0.6421,0.1408,0.1822,0.1302,0.7603,0.5884,0.2686,0.1728,0.1829
2020-01-08,2886.24,1180.08,664.52,781.24,4636.79,-638.31,5275.1,5057.88,1069.86,641.92,346.67,0.6421,0.1408,0.1862,0.1302,0.7603,0.5911,0.2707,0.1481,0.1685
2020-01-09,2880.68,1174.43,663.24,782.26,5027.92,-1029.44,6057.36,5700.08,1070.33,642.2,346.67,0.6421,0.1408,0.1882,0.1302,0.7603,0.5923,0.2716,0.1291,0.1556
2020-01-10,2866.98,1168.22,660.08,779.01,5417.42,-1418.95,6836.37,6339.5,1065.71,639.42,346.67,0.6421,0.1408,0.1875,0.1302,0.7603,0.5925,0.2717,0.114,0.1438
2020-01-13,2852.59,1162.35,656.77,775.1,5804.97,-1806.5,7611.47,6975.72,1060.36,636.21,346.67,0.6421,0.1408,0.1871,0.1302,0.7603,0.5925,0.2717,0.1018,0.1335
2020-01-14,2837.44,1156.18,653.28,770.98,6190.47,-2191.99,8382.46,7608.56,1054.73,632.84,346.67,0.6421,0.1408,0.1868,0.1302,0.7603,0.5925,0.2717,0.092,0.1245
2020-01-15,2828.33,1152.47,651.18,768.51,6574.72,-2576.24,9150.96,8239.36,1051.34,630.8,346.67,0.6421,0.1408,0.1883,0.1302,0.7603,0.5925,0.2717,0.084,0.1169
2020-01-16,2823.26,1150.4,650.01,767.13,6958.28,-2959.81,9918.09,8869.03,1049.46,629.67,346.67,0.6421,0.1408,0.1863,0.1302,0.7603,0.5925,0.2717,0.0773,0.1102
2020-01-17,2823.44,1150.48,650.06,767.18,7341.87,-3343.4,10685.27,9498.75,1049.52,629.71,346.67,0.6421,0.1408,0.1882,0.1302,0.7603,0.5925,0.2717,0.0718,0.1045
2020-01-20,2813.96,1146.62,647.88,764.61,7724.18,-3725.7,11449.88,10126.35,1046,627.6,346.67,0.6421,0.1408,0.187,0.1302,0.7603,0.5925,0.2717,0.0668,0.099
2020-01-21,2811.33,1145.54,647.27,763.89,8106.12,-4107.65,12213.77,10753.36,1045.02,627.01,346.67,0.6421,0.1408,0.1843,0.1302,0.7603,0.5925,0.2717,0.0625,0.0942
2020-01-22,2816.32,1147.58,648.42,765.25,8488.74,-4490.27,12979.01,11381.49,1046.88,628.13,346.67,0.6421,0.1408,0.1847,0.1302,0.7603,0.5925,0.2717,0.059,0.0901
2020-01-23,2815.98,1147.44,648.34,765.15,8871.32,-4872.85,13744.17,12009.54,1046.75,628.05,346.67,0.6421,0.1408,0.1837,0.1302,0.7603,0.5925,0.2717,0.0557,0.0863
2020-01-24,2805.49,1143.16,645.92,762.3,9252.47,-5254,14506.47,12635.25,1042.85,625.71,346.67,0.6421,0.1408,0.1853,0.1302,0.7603,0.5925,0.2717,0.0525,0.0824
2020-01-27,2800.99,1141.33,644.89,761.08,9633.01,-5634.54,15267.55,13259.96,1041.18,624.71,346.67,0.6421,0.1408,0.1845,0.1302,0.7603,0.5925,0.2717,0.0498,0.079
