Date,Revenue,CostOfGoodsSold,OperatingExpense,NetProfit,TotalAssets,TotalLiabilities,Equity,CashAndEquivalents,OperatingCashFlow,FreeCashFlow,SharesOutstanding,FreeFloatRatio,InsiderHoldingRatio,PledgeRatio,RDLevel,Competitiveness,GrossMargin,NetMargin,ROE,ROA
2020-01-02,2513.3,1157.64,508.03,635.72,2994.86,285.58,2709.29,718.95,887.05,532.23,257.54,0.5442,0.3904,0.2911,0.1021,0.705,0.5394,0.2529,0.2346,0.2123
2020-01-03,2510.56,1096.12,507.48,680.22,3334.98,-54.53,3389.51,1277.72,931.28,558.77,257.54,0.5442,0.3904,0.2909,0.1021,0.705,0.5634,0.2709,0.2007,0.204
2020-01-06,2514.74,1062.89,508.32,707.64,3688.8,-408.36,4097.15,1853.19,959.12,575.47,257.54,0.5442,0.3904,0.2894,0.1021,0.705,0.5773,0.2814,0.1727,0.1918
2020-01-07,2509.1,1040.37,507.18,721.16,4049.38,-768.94,4818.31,2436.43,972.07,583.24,257.54,0.5442,0.3904,0.2919,0.1021,0.705,0.5854,0.2874,0.1497,0.1781
2020-01-08,2499.75,1026.78,505.29,725.76,4412.26,-1131.81,5544.07,3021.87,975.73,585.44,257.54,0.5442,0.3904,0.2947,0.1021,0.705,0.5892,0.2903,0.1309,0.1645
2020-01-09,2501.05,1022.27,505.55,729.92,4777.22,-1496.78,6273.99,3609.88,980.03,588.02,257.54,0.5442,0.3904,0.2925,0.1021,0.705,0.5913,0.2918,0.1163,0.1528
2020-01-10,2506.21,1021.9,506.6,733.29,5143.86,-1863.42,7007.28,4200.23,983.91,590.35,257.54,0.5442,0.3904,0.2898,0.1021,0.705,0.5923,0.2926,0.1046,0.1426
2020-01-13,2503.8,1020.4,506.11,732.97,5510.35,-2229.91,7740.25,4790.24,983.35,590.01,257.54,0.5442,0.3904,0.2881,0.1021,0.705,0.5925,0.2927,0.0947,0.133
2020-01-14,2502.9,1020.03,505.93,732.71,5876.7,-2596.26,8472.96,5380.04,983,589.8,257.54,0.5442,0.3904,0.2896,0.1021,0.705,0.5925,0.2927,0.0865,0.1247
2020-01-15,2489.38,1014.52,503.19,728.75,6241.07,-2960.63,9201.71,5966.65,977.69,586.61,257.54,0.5442,0.3904,0.288,0.1021,0.705,0.5925,0.2927,0.0792,0.1168
2020-01-16,2490.66,1015.04,503.45,729.12,6605.64,-3325.19,9930.83,6553.56,978.19,586.91,257.54,0.5442,0.3904,0.2873,0.1021,0.705,0.5925,0.2927,0.0734,0.1104
2020-01-17,2485.42,1012.91,502.39,727.59,6969.43,-3688.99,10658.42,7139.24,976.13,585.68,257.54,0.5442,0.3904,0.2915,0.1021,0.705,0.5925,0.2927,0.0683,0.1044
